#word,polarity(\n)

#1 gram
dastardly,-1
deplorable,-1
depressed,-1
deprived,-1
deformed,-1
Cont.,-1
deny,-1
despicable,-1
detrimental,-1
died,-1
dirty,-1
disease,-1
disgusting,-1
disheveled,-1
dishonest,-1
dishonorable,-1
dismal,-1
distress,-1
don't,-1
dreadful,-1
dreary,-1
enraged,-1
eroding,-1
evil,-1
fail,-1
faulty,-1
fear,-1
feeble,-1
fight,-1
filthy,-1
foul,-1
frighten,-1
frightful,-1
gawky,-1
ghastly,-1
grave,-1
greed,-1
grim,-1
grimace,-1
gross,-1
grotesque,-1
gruesome,-1
guilty,-1
haggard,-1
hard,-1
hard-hearted,-1
harmful,-1
hate,-1
hideous,-1
homely,-1
horrendous,-1
horrible,-1
hostile,-1
hurt,-1
hurtful,-1
icky,-1
ignore,-1
ignorant,-1
ill,-1
immature,-1
imperfect,-1
impossible,-1
inane,-1
inelegant,-1
infernal,-1
injure,-1
injurious,-1
insane,-1
insidious,-1
insipid,-1
jealous,-1
junky,-1
lose,-1
lousy,-1
lumpy,-1
malicious,-1
mean,-1
menacing,-1
messy,-1
misshapen,-1
missing,-1
misunderstood,-1
moan,-1
moldy,-1
monstrous,-1
naive,-1
nasty,-1
naughty,-1
negate,-1
negative,-1
never,-1
no,-1
nobody,-1
nondescript,-1
nonsense,-1
not,-1
noxious,-1
objectionable,-1
odious,-1
offensive,-1
old,-1
oppressive,-1
pain,-1
perturb,-1
pessimistic,-1
petty,-1
plain,-1
poisonous,-1
poor,-1
prejudice,-1
questionable,-1
quirky,-1
quit,-1
reject,-1
renege,-1
repellant,-1
reptilian,-1
repulsive,-1
repugnant,-1
revenge,-1
revolting,-1
rocky,-1
rotten,-1
rude,-1
ruthless,-1
sad,-1
savage,-1
scare,-1
scary,-1
scream,-1
severe,-1
shoddy,-1
shocking,-1
sick,-1
sickening,-1
sinister,-1
slimy,-1
smelly,-1
sobbing,-1
sorry,-1
spiteful,-1
sticky,-1
stinky,-1
stormy,-1
stressful,-1
stuck,-1
stupid,-1
substandard,-1
suspect,-1
suspicious,-1
tense,-1
terrible,-1
terrifying,-1
threatening,-1
ugly,-1
undermine,-1
unfair,-1
unfavorable,-1
unhappy,-1
unhealthy,-1
unjust,-1
unlucky,-1
unpleasant,-1
upset,-1
unsatisfactory,-1
unsightly,-1
untoward,-1
unwanted,-1
unwelcome,-1
unwholesome,-1
unwieldy,-1
unwise,-1
upset,-1
vice,-1
vicious,-1
vile,-1
villainous,-1
vindictive,-1
wary,-1
weary,-1
wicked,-1
woeful,-1
worthless,-1
wound,-1
yell,-1
yucky,-1
zero,-1

#2,1grams
unpredictable,movie,1
unpredictable,device,-1
unpredictable,mp3,-1
rahul,mad,1
shivek,awesome,1
rahul,awesome,-1
not,bad,1
didn't,bad,1
not,good,-1
didn't,good,-1
